Category,Subcategory,Threshold,Strategy,Score,Type,Driver
Terrain,Slope,>=15,Decentralized Surface Green,-,Condition,
Terrain,Slope,>=15,Decentralized Roof Top Green,=,Condition,
Terrain,Slope,>=15,Decentralized Surface Gray,--,Condition,
Terrain,Slope,>=15,Decentralized Subsurface Gray,-,Condition,
Terrain,Slope,>=15,Centralized Surface Green,--,Condition,
Terrain,Slope,>=15,Centralized Subsurface Gray,=,Condition,
Terrain,Slope,>=5 and <15,Decentralized Surface Green,-,Condition,
Terrain,Slope,>=5 and <15,Decentralized Roof Top Green,=,Condition,
Terrain,Slope,>=5 and <15,Decentralized Surface Gray,-,Condition,
Terrain,Slope,>=5 and <15,Decentralized Subsurface Gray,=,Condition,
Terrain,Slope,>=5 and <15,Centralized Surface Green,+,Condition,
Terrain,Slope,>=5 and <15,Centralized Subsurface Gray,=,Condition,
Terrain,Slope,<5,Decentralized Surface Green,+,Condition,
Terrain,Slope,<5,Decentralized Roof Top Green,+,Condition,
Terrain,Slope,<5,Decentralized Surface Gray,+,Condition,
Terrain,Slope,<5,Decentralized Subsurface Gray,+,Condition,
Terrain,Slope,<5,Centralized Surface Green,+,Condition,
Terrain,Slope,<5,Centralized Subsurface Gray,=,Condition,
Built Environment Density,Population Density,>=50000,Decentralized Surface Green,--,Condition,
Built Environment Density,Population Density,>=50000,Decentralized Roof Top Green,+,Condition,
Built Environment Density,Population Density,>=50000,Decentralized Surface Gray,-,Condition,
Built Environment Density,Population Density,>=50000,Decentralized Subsurface Gray,-,Condition,
Built Environment Density,Population Density,>=50000,Centralized Surface Green,--,Condition,
Built Environment Density,Population Density,>=50000,Centralized Subsurface Gray,+,Condition,
Built Environment Density,Population Density,>=20000 and <50000,Decentralized Surface Green,+,Condition,
Built Environment Density,Population Density,>=20000 and <50000,Decentralized Roof Top Green,+,Condition,
Built Environment Density,Population Density,>=20000 and <50000,Decentralized Surface Gray,-,Condition,
Built Environment Density,Population Density,>=20000 and <50000,Decentralized Subsurface Gray,+,Condition,
Built Environment Density,Population Density,>=20000 and <50000,Centralized Surface Green,--,Condition,
Built Environment Density,Population Density,>=20000 and <50000,Centralized Subsurface Gray,+,Condition,
Built Environment Density,Population Density,>=10000 and <20000,Decentralized Surface Green,+,Condition,
Built Environment Density,Population Density,>=10000 and <20000,Decentralized Roof Top Green,+,Condition,
Built Environment Density,Population Density,>=10000 and <20000,Decentralized Surface Gray,+,Condition,
Built Environment Density,Population Density,>=10000 and <20000,Decentralized Subsurface Gray,+,Condition,
Built Environment Density,Population Density,>=10000 and <20000,Centralized Surface Green,-,Condition,
Built Environment Density,Population Density,>=10000 and <20000,Centralized Subsurface Gray,-,Condition,
Built Environment Density,Population Density,>=2000 and <10000,Decentralized Surface Green,+,Condition,
Built Environment Density,Population Density,>=2000 and <10000,Decentralized Roof Top Green,-,Condition,
Built Environment Density,Population Density,>=2000 and <10000,Decentralized Surface Gray,+,Condition,
Built Environment Density,Population Density,>=2000 and <10000,Decentralized Subsurface Gray,-,Condition,
